subject,acc,f1
001,0.6268656716417911,0.6252607042080727
002,0.9285714285714286,0.9207949308755761
003,1.0,1.0
004,1.0,1.0
005,0.88,0.8518518518518517
mean,0.8870874200426438,0.8795814973871001
