subject,acc,f1
001,0.746268656716418,0.7361262393520459
002,0.9523809523809523,0.9421296296296297
003,0.9512195121951219,0.9421296296296297
004,0.8275862068965517,0.8014814814814814
005,0.84,0.7123015873015873
mean,0.8634910656378088,0.8268337134788748
