feature,gain,weight
jerk_std,2.5634069442749023,295.0
disp_std,2.503535270690918,256.0
jerk_mean,1.9336254596710205,454.0
mean_v,1.326369285583496,73.0
bp_3_6,1.3077120780944824,423.0
max_v,1.1260589361190796,321.0
path_len,0.9859827160835266,400.0
bp_0_3,0.6153135895729065,33.0
pause,0.5735746026039124,219.0
bimanual_corr,0.5574843287467957,259.0
straight,0.3534500300884247,228.0
fft_energy,0.21090546250343323,120.0
