feature,pi_mean,pi_std
jerk_mean,0.16900770725351796,0.01584790643102901
bp_3_6,0.09520468767696795,0.01605711026793017
path_len,0.07219368734418644,0.009068748326882193
max_v,0.02157521487808911,0.00408024916905194
jerk_std,0.01940184259580441,0.006948334078094756
disp_std,0.014841759191273252,0.0061923913691849155
pause,0.005189113212369001,0.004791900896715366
bimanual_corr,0.003459588044463213,0.005279772289141306
straight,0.0,0.0
mean_v,0.0,0.0
fft_energy,0.0,0.0
bp_0_3,0.0,0.0
